meet,meet-href,compiled,compiled-href,Overall,Name,Year,Team,Time,Overall,Name,Year,Team,Distance
"University High School Invitational","https://www.directathletics.com/results/track/48982.html","Compiled","https://www.directathletics.com/results/track/48982_f.html","2","Beverly, Tiara","JR","Thornton Fractional North","7.94","2","Beverly, Tiara","JR","Thornton Fractional North",""
"FAMU Relays","https://www.directathletics.com/results/track/48194.html","Compiled","https://www.directathletics.com/results/track/48194_m.html","","","","","","","","","",""
"Mississippi College Season Opener","https://www.directathletics.com/results/track/47362.html","Compiled","https://www.directathletics.com/results/track/47362_f.html","7","Francis, Alexandria","SO-2","Mississippi Valley","12.81","7","Francis, Alexandria","SO-2","Mississippi Valley",""
"East Central Indoor Invitational","https://www.directathletics.com/results/track/48610.html","Compiled","https://www.directathletics.com/results/track/48610_f.html","","","","","","","","","",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_f.html","27","Valladares, Evaliz","JR","Academy Tech/Classics","","27","Valladares, Evaliz","JR","Academy Tech/Classics","45'  5"""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","2","Crozier, Grayson","11","St. Thomas Aquinas HS","","2","Crozier, Grayson","11","St. Thomas Aquinas HS","39.87m"
"Blue and White Relays","https://www.directathletics.com/results/track/48722.html","Compiled","https://www.directathletics.com/results/track/48722_m.html","2","Howe, Uriah","SR","New Castle","7.21","2","Howe, Uriah","SR","New Castle",""
"Los Lunas Invitational","https://www.directathletics.com/results/track/48592.html","Compiled","https://www.directathletics.com/results/track/48592_m.html","","","","","","","","","",""
"Boyd Jr High Meet","https://www.directathletics.com/results/track/48977.html","Compiled","https://www.directathletics.com/results/track/48977_m.html","9","Williams, Dorian","7","Boyd Middle School","14.75","9","Williams, Dorian","7","Boyd Middle School",""
"Duck Roost Relays","https://www.directathletics.com/results/track/48199.html","Compiled","https://www.directathletics.com/results/track/48199_f.html","","Cook, Ndili","JR","University Lab","","","Cook, Ndili","JR","University Lab","null"
"2017 West Lafayette Individuals","https://www.directathletics.com/results/track/47980.html","Compiled","https://www.directathletics.com/results/track/47980_m.html","7","Davis, Dequincy","JR","Brownsburg","6.84","7","Davis, Dequincy","JR","Brownsburg",""
"Duck Roost Relays","https://www.directathletics.com/results/track/48199.html","Compiled","https://www.directathletics.com/results/track/48199_m.html","","Johnson, Tre","JR","Central, Baton Rouge","DNF","","Johnson, Tre","JR","Central, Baton Rouge",""
"2nd Annual Victor Ice Breaker Duals","https://www.directathletics.com/results/track/47352.html","Compiled","https://www.directathletics.com/results/track/47352_f.html","5","Smith, Alexis","SR-4","Shorter","12.54","5","Smith, Alexis","SR-4","Shorter",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","","Diaz, Maxwell","10","John A. Ferguson HS","","","Diaz, Maxwell","10","John A. Ferguson HS","ND"
"2017 Barbers Hill JV Track Meet","https://www.directathletics.com/results/track/48539.html","Compiled","https://www.directathletics.com/results/track/48539_f.html","11","Seymour, Jenna","FR","Mont Belvieu Barbers Hill","14.67","11","Seymour, Jenna","FR","Mont Belvieu Barbers Hill",""
"Orange Empire Conference Multi-Event Championships","https://www.directathletics.com/results/track/48184.html","Compiled","https://www.directathletics.com/results/track/48184_m.html","3","Nyear, Ibtihaj","FR","Golden West","null","3","Nyear, Ibtihaj","FR","Golden West",""
"Sam Burley Hall of Fame Invitational","https://www.directathletics.com/results/track/49301.html","Compiled","https://www.directathletics.com/results/track/49301_m.html","4","Brimmer, Joshua","12","Raines HS","","4","Brimmer, Joshua","12","Raines HS","38.90m"
"Cal Opener 2017","https://www.directathletics.com/results/track/47376.html","Compiled","https://www.directathletics.com/results/track/47376_m.html","1","Godsil, Marshall","SO-2","California","","1","Godsil, Marshall","SO-2","California","54.26m"
"2017 Mt. Zion Boys Indoor Invitational","https://www.directathletics.com/results/track/48582.html","Compiled","https://www.directathletics.com/results/track/48582_m.html","7","Brown, Marshall","JR","Macon Meridian","7.70","7","Brown, Marshall","JR","Macon Meridian",""
"Chili Quad","https://www.directathletics.com/results/track/47998.html","Compiled","https://www.directathletics.com/results/track/47998_f.html","","","","","","","","","",""
"DePauw HSR Qualifier I","https://www.directathletics.com/results/track/47681.html","Compiled","https://www.directathletics.com/results/track/47681_f.html","2","Owens, Alanah","SR","McCutcheon","8.05","2","Owens, Alanah","SR","McCutcheon",""
